text,priority
What are library working hours,Low
Campus WiFi availability areas,Low
Fee payment failed but amount deducted,High
My exam hall ticket is not available and exams start tomorrow,High
Is there any AI club in university,Low
I want to change my elective subject,Medium
Sports complex timings,Low
Procedure to get internship approval,Medium
My scholarship amount has not been credited and fee deadline is near,High
Procedure to get internship approval,Medium
I was marked absent in exam but I attended,High
Bus schedule information,Low
My scholarship amount has not been credited and fee deadline is near,High
Cafeteria menu details please,Low
What are library working hours,Low
Is there any AI club in university,Low
Issue accessing LMS materials,Medium
Request to update contact details in portal,Medium
How to join student clubs,Low
Urgent correction needed in my name on admit card,High
Holiday list for this academic year,Low
Campus WiFi availability areas,Low
I want to change my elective subject,Medium
Request to update contact details in portal,Medium
Fee payment failed but amount deducted,High
How to join student clubs,Low
Holiday list for this academic year,Low
My internal marks are missing before final submission deadline,High
Fee payment failed but amount deducted,High
What are library working hours,Low
Holiday list for this academic year,Low
Today is the last date to pay my semester fee and the portal is not working,High
Request for ID card renewal,Medium
I was marked absent in exam but I attended,High
Bus schedule information,Low
Issue accessing LMS materials,Medium
Is there any AI club in university,Low
Today is the last date to pay my semester fee and the portal is not working,High
Urgent correction needed in my name on admit card,High
My scholarship amount has not been credited and fee deadline is near,High
Holiday list for this academic year,Low
Project submission link not accessible on last day,High
I want to change my elective subject,Medium
When does next semester start,Low
What are library working hours,Low
When does next semester start,Low
My scholarship amount has not been credited and fee deadline is near,High
Procedure to get internship approval,Medium
Bus schedule information,Low
Fee payment failed but amount deducted,High
Clarification about attendance percentage,Medium
Clarification about attendance percentage,Medium
Today is the last date to pay my semester fee and the portal is not working,High
Urgent correction needed in my name on admit card,High
Guidance on course registration process,Medium
How can I apply for bonafide certificate,Medium
Sports complex timings,Low
Issue accessing LMS materials,Medium
How can I apply for bonafide certificate,Medium
How can I apply for bonafide certificate,Medium
How can I apply for bonafide certificate,Medium
Request to update contact details in portal,Medium
Guidance on course registration process,Medium
When does next semester start,Low
What are library working hours,Low
Today is the last date to pay my semester fee and the portal is not working,High
I was marked absent in exam but I attended,High
Cafeteria menu details please,Low
How to apply for revaluation,Medium
Issue accessing LMS materials,Medium
Cafeteria menu details please,Low
Procedure to get internship approval,Medium
Procedure to get internship approval,Medium
Today is the last date to pay my semester fee and the portal is not working,High
How to apply for revaluation,Medium
Today is the last date to pay my semester fee and the portal is not working,High
My scholarship amount has not been credited and fee deadline is near,High
Campus WiFi availability areas,Low
My exam hall ticket is not available and exams start tomorrow,High
Fee payment failed but amount deducted,High
My exam hall ticket is not available and exams start tomorrow,High
Where can I find syllabus for Data Structures,Low
What are library working hours,Low
Bus schedule information,Low
Clarification about attendance percentage,Medium
Sports complex timings,Low
Information about upcoming workshops,Medium
Fee payment failed but amount deducted,High
Urgent correction needed in my name on admit card,High
Is there any AI club in university,Low
My exam hall ticket is not available and exams start tomorrow,High
What are library working hours,Low
I cannot submit my assignment due to portal error and deadline is tonight,High
When does next semester start,Low
Issue accessing LMS materials,Medium
My scholarship amount has not been credited and fee deadline is near,High
My exam hall ticket is not available and exams start tomorrow,High
My exam hall ticket is not available and exams start tomorrow,High
How to join student clubs,Low
When does next semester start,Low
Holiday list for this academic year,Low
Project submission link not accessible on last day,High
Request for ID card renewal,Medium
Cafeteria menu details please,Low
Issue accessing LMS materials,Medium
Request for ID card renewal,Medium
Where can I find syllabus for Data Structures,Low
Request for ID card renewal,Medium
Request to update contact details in portal,Medium
Cafeteria menu details please,Low
How to join student clubs,Low
Request for ID card renewal,Medium
Campus WiFi availability areas,Low
Campus WiFi availability areas,Low
I was marked absent in exam but I attended,High
Bus schedule information,Low
Where can I find syllabus for Data Structures,Low
I was marked absent in exam but I attended,High
Cannot register for exams before deadline,High
Fee payment failed but amount deducted,High
Issue accessing LMS materials,Medium
Information about upcoming workshops,Medium
Request to update contact details in portal,Medium
My internal marks are missing before final submission deadline,High
Holiday list for this academic year,Low
My internal marks are missing before final submission deadline,High
Is there any AI club in university,Low
Urgent correction needed in my name on admit card,High
Urgent correction needed in my name on admit card,High
Procedure to get internship approval,Medium
Project submission link not accessible on last day,High
Is there any AI club in university,Low
Cafeteria menu details please,Low
How to join student clubs,Low
Clarification about attendance percentage,Medium
Information about upcoming workshops,Medium
Project submission link not accessible on last day,High
Procedure to get internship approval,Medium
Information about upcoming workshops,Medium
Procedure to get internship approval,Medium
Procedure to get internship approval,Medium
Project submission link not accessible on last day,High
I want to change my elective subject,Medium
What are library working hours,Low
I was marked absent in exam but I attended,High
Clarification about attendance percentage,Medium
How to apply for revaluation,Medium
What are library working hours,Low
When does next semester start,Low
Today is the last date to pay my semester fee and the portal is not working,High
Today is the last date to pay my semester fee and the portal is not working,High
Where can I find syllabus for Data Structures,Low
Procedure to get internship approval,Medium
I was marked absent in exam but I attended,High
Sports complex timings,Low
What are library working hours,Low
Information about upcoming workshops,Medium
Sports complex timings,Low
Cannot register for exams before deadline,High
Procedure to get internship approval,Medium
What are library working hours,Low
Urgent correction needed in my name on admit card,High
Request for ID card renewal,Medium
Project submission link not accessible on last day,High
Cannot register for exams before deadline,High
Campus WiFi availability areas,Low
Guidance on course registration process,Medium
How can I apply for bonafide certificate,Medium
Request to update contact details in portal,Medium
Where can I find syllabus for Data Structures,Low
How can I apply for bonafide certificate,Medium
When does next semester start,Low
Information about upcoming workshops,Medium
My internal marks are missing before final submission deadline,High
I was marked absent in exam but I attended,High
Holiday list for this academic year,Low
Procedure to get internship approval,Medium
Project submission link not accessible on last day,High
Where can I find syllabus for Data Structures,Low
How to apply for revaluation,Medium
Is there any AI club in university,Low
Where can I find syllabus for Data Structures,Low
My scholarship amount has not been credited and fee deadline is near,High
Issue accessing LMS materials,Medium
How to apply for revaluation,Medium
Urgent correction needed in my name on admit card,High
Issue accessing LMS materials,Medium
Procedure to get internship approval,Medium
Campus WiFi availability areas,Low
I was marked absent in exam but I attended,High
How to join student clubs,Low
Fee payment failed but amount deducted,High
Cannot register for exams before deadline,High
How to apply for revaluation,Medium
Cannot register for exams before deadline,High
My internal marks are missing before final submission deadline,High
My internal marks are missing before final submission deadline,High
Urgent correction needed in my name on admit card,High
Request to update contact details in portal,Medium
Project submission link not accessible on last day,High
Clarification about attendance percentage,Medium
My exam hall ticket is not available and exams start tomorrow,High
Request to update contact details in portal,Medium
Issue accessing LMS materials,Medium
My internal marks are missing before final submission deadline,High
Cafeteria menu details please,Low
Campus WiFi availability areas,Low
How to join student clubs,Low
My internal marks are missing before final submission deadline,High
Guidance on course registration process,Medium
I was marked absent in exam but I attended,High
Campus WiFi availability areas,Low
Sports complex timings,Low
I was marked absent in exam but I attended,High
Request for ID card renewal,Medium
Cafeteria menu details please,Low
Is there any AI club in university,Low
Project submission link not accessible on last day,High
Campus WiFi availability areas,Low
When does next semester start,Low
How to join student clubs,Low
Sports complex timings,Low
Where can I find syllabus for Data Structures,Low
Procedure to get internship approval,Medium
How to apply for revaluation,Medium
My exam hall ticket is not available and exams start tomorrow,High
Holiday list for this academic year,Low
How to join student clubs,Low
Where can I find syllabus for Data Structures,Low
How to join student clubs,Low
Issue accessing LMS materials,Medium
Campus WiFi availability areas,Low
Campus WiFi availability areas,Low
Urgent correction needed in my name on admit card,High
When does next semester start,Low
Today is the last date to pay my semester fee and the portal is not working,High
Procedure to get internship approval,Medium
Campus WiFi availability areas,Low
Procedure to get internship approval,Medium
Information about upcoming workshops,Medium
I want to change my elective subject,Medium
Clarification about attendance percentage,Medium
Urgent correction needed in my name on admit card,High
Bus schedule information,Low
How to join student clubs,Low
Is there any AI club in university,Low
Today is the last date to pay my semester fee and the portal is not working,High
I was marked absent in exam but I attended,High
Procedure to get internship approval,Medium
My internal marks are missing before final submission deadline,High
I want to change my elective subject,Medium
Request for ID card renewal,Medium
My scholarship amount has not been credited and fee deadline is near,High
Is there any AI club in university,Low
Procedure to get internship approval,Medium
My exam hall ticket is not available and exams start tomorrow,High
When does next semester start,Low
When does next semester start,Low
Issue accessing LMS materials,Medium
Clarification about attendance percentage,Medium
I want to change my elective subject,Medium
How to join student clubs,Low
Is there any AI club in university,Low
When does next semester start,Low
How to apply for revaluation,Medium
Clarification about attendance percentage,Medium
Urgent correction needed in my name on admit card,High
Sports complex timings,Low
Where can I find syllabus for Data Structures,Low
Project submission link not accessible on last day,High
How to apply for revaluation,Medium
How to join student clubs,Low
Where can I find syllabus for Data Structures,Low
Sports complex timings,Low
Holiday list for this academic year,Low
Today is the last date to pay my semester fee and the portal is not working,High
Procedure to get internship approval,Medium
When does next semester start,Low
Guidance on course registration process,Medium
Sports complex timings,Low
Is there any AI club in university,Low
Procedure to get internship approval,Medium
How to apply for revaluation,Medium
Campus WiFi availability areas,Low
Procedure to get internship approval,Medium
Guidance on course registration process,Medium
How to join student clubs,Low
Where can I find syllabus for Data Structures,Low
Campus WiFi availability areas,Low
I was marked absent in exam but I attended,High
I want to change my elective subject,Medium
My scholarship amount has not been credited and fee deadline is near,High
Request to update contact details in portal,Medium
Cafeteria menu details please,Low
How can I apply for bonafide certificate,Medium
How can I apply for bonafide certificate,Medium
How to join student clubs,Low
How can I apply for bonafide certificate,Medium
How to apply for revaluation,Medium
I want to change my elective subject,Medium
Request for ID card renewal,Medium
I cannot submit my assignment due to portal error and deadline is tonight,High
Cafeteria menu details please,Low
Information about upcoming workshops,Medium
How can I apply for bonafide certificate,Medium
How can I apply for bonafide certificate,Medium
I was marked absent in exam but I attended,High
Fee payment failed but amount deducted,High
When does next semester start,Low
Procedure to get internship approval,Medium
Information about upcoming workshops,Medium
How to apply for revaluation,Medium
Where can I find syllabus for Data Structures,Low
Project submission link not accessible on last day,High
How to join student clubs,Low
Bus schedule information,Low
Holiday list for this academic year,Low
Where can I find syllabus for Data Structures,Low
